epoch,accuracy,loss,val_accuracy,val_loss
0,0.5140743255615234,1.2713892459869385,0.5193625092506409,1.262960433959961
1,0.5216230154037476,1.2531553506851196,0.5239715576171875,1.2428903579711914
2,0.5220645070075989,1.232302188873291,0.5233685374259949,1.2212132215499878
3,0.5234213471412659,1.210188388824463,0.5188025236129761,1.1992331743240356
4,0.5226244926452637,1.1878862380981445,0.5281068086624146,1.1763181686401367
5,0.522322952747345,1.1656675338745117,0.5202239751815796,1.1548357009887695
6,0.5219029784202576,1.143969178199768,0.5248761773109436,1.1329864263534546
7,0.5254566073417664,1.1226011514663696,0.5225500464439392,1.1122909784317017
8,0.5231736898422241,1.102231502532959,0.5232823491096497,1.0923099517822266
9,0.5239490270614624,1.0825591087341309,0.5256515145301819,1.0727410316467285
10,0.5238521099090576,1.063768744468689,0.5197070837020874,1.0550633668899536
11,0.523345947265625,1.045766830444336,0.5198363065719604,1.037307858467102
12,0.5227214097976685,1.0286757946014404,0.5281068086624146,1.0199600458145142
13,0.5236043930053711,1.0121105909347534,0.5186302065849304,1.0048047304153442
14,0.5245950818061829,0.9965129494667053,0.5203101634979248,0.9892049431800842
15,0.5232490301132202,0.9817041158676147,0.5282791256904602,0.974241316318512
16,0.5255858302116394,0.9674427509307861,0.5227223634719849,0.9611791372299194
17,0.523529052734375,0.9540632963180542,0.5237992405891418,0.9476299285888672
18,0.5246919989585876,0.9412893056869507,0.5215593576431274,0.9352186918258667
19,0.5249935388565063,0.9291625618934631,0.5222916007041931,0.9235935807228088
20,0.5245843529701233,0.9176782369613647,0.5224639177322388,0.912102222442627
21,0.5251012444496155,0.9066812992095947,0.5234977602958679,0.9016075134277344
22,0.5235613584518433,0.8964375257492065,0.5197070837020874,0.8918646574020386
23,0.5242074728012085,0.8865966200828552,0.5243161916732788,0.8818591833114624
24,0.5238628387451172,0.8772410154342651,0.5241007804870605,0.8728463053703308
25,0.5238413214683533,0.8683957457542419,0.525909960269928,0.8639084696769714
26,0.5251550674438477,0.8599147796630859,0.5278483629226685,0.8555251955986023
27,0.5247458815574646,0.8519786596298218,0.5284514427185059,0.8478823304176331
28,0.5236905813217163,0.84440678358078,0.516950249671936,0.8412176370620728
29,0.5241105556488037,0.837268590927124,0.5234546661376953,0.833881676197052
30,0.5246919989585876,0.8304676413536072,0.5248761773109436,0.8271834850311279
31,0.523679792881012,0.823981761932373,0.5216885805130005,0.8210268020629883
32,0.5248643159866333,0.8177635073661804,0.5216023921966553,0.8149464726448059
33,0.5251873731613159,0.8118915557861328,0.5239715576171875,0.8092524409294128
34,0.5244335532188416,0.8063005805015564,0.5251776576042175,0.803606390953064
35,0.5234536528587341,0.8011038899421692,0.5210855007171631,0.7989155650138855
36,0.5242182016372681,0.7960692048072815,0.5244023203849792,0.7936511635780334
37,0.5242936015129089,0.7912983894348145,0.5227654576301575,0.7889383435249329
38,0.5237013101577759,0.7868552207946777,0.5204393863677979,0.7849398851394653
39,0.5242074728012085,0.7825222015380859,0.5238854289054871,0.780268669128418
40,0.5249504446983337,0.7783771753311157,0.5214731693267822,0.7763161063194275
41,0.5234967470169067,0.7745739817619324,0.5194917321205139,0.7730662226676941
42,0.5237874984741211,0.7708432078361511,0.5182425379753113,0.7693609595298767
