epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.5239664912223816,0.8236834406852722,5e-05,0.5007053017616272,0.7086877226829529
1,0.5953471064567566,0.6759558916091919,5e-05,0.5661078691482544,0.6813056468963623
2,0.6239250898361206,0.6586654782295227,5e-05,0.6738010048866272,0.6506375074386597
3,0.6438395380973816,0.6429007649421692,5e-05,0.6619194746017456,0.6400959491729736
4,0.6664259433746338,0.6228331327438354,5e-05,0.7144368290901184,0.6048399806022644
5,0.6902601718902588,0.5987405776977539,5e-05,0.7295193076133728,0.5852451920509338
6,0.7055901288986206,0.581635594367981,5e-05,0.7155219316482544,0.5718984603881836
7,0.7163628339767456,0.5697025656700134,5e-05,0.7480739951133728,0.5484557151794434
8,0.7278578281402588,0.5543695688247681,5e-05,0.7727593183517456,0.5158227682113647
9,0.7628580927848816,0.5052199363708496,5e-05,0.8071560263633728,0.4480959475040436
10,0.7876552939414978,0.4670664370059967,5e-05,0.8145887851715088,0.442030668258667
11,0.8022800087928772,0.4423680901527405,5e-05,0.8231065273284912,0.41902947425842285
12,0.8147549033164978,0.4213728904724121,5e-05,0.833984375,0.3975752592086792
13,0.8243984580039978,0.40298062562942505,5e-05,0.8353135585784912,0.39434200525283813
14,0.8350490927696228,0.3842446208000183,5e-05,0.8387315273284912,0.3752138018608093
15,0.8411424160003662,0.3718608617782593,5e-05,0.8538682460784912,0.36386072635650635
16,0.8458319902420044,0.3637753427028656,5e-05,0.8563910722732544,0.36151692271232605
17,0.8493245244026184,0.3584491014480591,5e-05,0.8533257246017456,0.35979875922203064
18,0.8521186113357544,0.3536508083343506,5e-05,0.8409830927848816,0.3752390444278717
19,0.8524678349494934,0.350321888923645,5e-05,0.8520236611366272,0.36029502749443054
20,0.8542039394378662,0.3468517065048218,5e-05,0.8429362177848816,0.3749363422393799
21,0.8662922978401184,0.3266085386276245,2.5e-05,0.8556315302848816,0.34668195247650146
22,0.867919921875,0.3232065737247467,2.5e-05,0.8591850996017456,0.3402822017669678
23,0.8683912754058838,0.32194364070892334,2.5e-05,0.8603786826133728,0.3416847884654999
24,0.8685811161994934,0.31992366909980774,2.5e-05,0.85693359375,0.34475910663604736
25,0.8693271279335022,0.31877368688583374,2.5e-05,0.8531630039215088,0.34964996576309204
26,0.8684183955192566,0.3198736906051636,2.5e-05,0.8611382246017456,0.33955395221710205
27,0.8696628212928772,0.3166979253292084,2.5e-05,0.8596462607383728,0.3428404927253723
28,0.8699204921722412,0.31627511978149414,2.5e-05,0.8607041835784912,0.3399268388748169
29,0.8703138828277588,0.31581467390060425,2.5e-05,0.8604872226715088,0.3409605622291565
30,0.8705885410308838,0.31469935178756714,2.5e-05,0.8598090410232544,0.3439267873764038
31,0.8713209629058838,0.31349703669548035,2.5e-05,0.8600260615348816,0.34097906947135925
32,0.8717583417892456,0.31259047985076904,2.5e-05,0.8565809726715088,0.3424462676048279
33,0.8709716796875,0.31250178813934326,2.5e-05,0.8616807460784912,0.33353251218795776
34,0.8720771074295044,0.3118862807750702,2.5e-05,0.8600260615348816,0.33915236592292786
35,0.8723076581954956,0.31087398529052734,2.5e-05,0.8579372763633728,0.3446953594684601
36,0.8720771074295044,0.31045112013816833,2.5e-05,0.8640950322151184,0.33097362518310547
37,0.8725009560585022,0.31023555994033813,2.5e-05,0.8646104335784912,0.3320978879928589
38,0.8727518916130066,0.30965763330459595,2.5e-05,0.8635796308517456,0.33015966415405273
39,0.8721482753753662,0.3095920979976654,2.5e-05,0.8630913496017456,0.3329281806945801
40,0.8724636435508728,0.3091021478176117,2.5e-05,0.8620063066482544,0.33622854948043823
41,0.8731452226638794,0.308274507522583,2.5e-05,0.8661566972732544,0.32953324913978577
42,0.8739895224571228,0.30583348870277405,2.5e-05,0.8582627773284912,0.34107086062431335
43,0.8735317587852478,0.3065508008003235,2.5e-05,0.8636067509651184,0.3312314748764038
44,0.87274169921875,0.3081052005290985,2.5e-05,0.8622775673866272,0.33661237359046936
45,0.874053955078125,0.3066796660423279,2.5e-05,0.8622504472732544,0.33498260378837585
46,0.8739081621170044,0.30610191822052,2.5e-05,0.8646647334098816,0.3367004692554474
47,0.8739047646522522,0.3054354786872864,2.5e-05,0.8645290732383728,0.3293643593788147
48,0.874725341796875,0.30435383319854736,2.5e-05,0.8655869960784912,0.33028608560562134
49,0.8741523027420044,0.30444666743278503,2.5e-05,0.8633626103401184,0.328720360994339
50,0.875030517578125,0.30351877212524414,2.5e-05,0.8591850996017456,0.337891161441803
51,0.875396728515625,0.30317172408103943,2.5e-05,0.860595703125,0.3398895263671875
52,0.8752204179763794,0.30331870913505554,2.5e-05,0.8635796308517456,0.33281654119491577
53,0.8749728798866272,0.3031519651412964,2.5e-05,0.8656141757965088,0.3297523856163025
54,0.8752577304840088,0.30294471979141235,2.5e-05,0.8664008378982544,0.32632365822792053
55,0.875091552734375,0.3026467263698578,2.5e-05,0.8664821982383728,0.3282608985900879
56,0.875396728515625,0.3016206920146942,2.5e-05,0.8643120527267456,0.32808277010917664
57,0.8754103183746338,0.30222317576408386,2.5e-05,0.8660210371017456,0.32497939467430115
